Nom,Hauteur a maturite (mm),Période de floraison START,Période de floraison END,Type,Forme,Sol,pH Sol,Rusticite,Besoin en Eau,Besoin en Soleil,Teinte,Periodicite,Photo URL,Description,Conseils,Model
Lilas,600 - 10000,4,9,Arbuste,Buissonnant,"Calcaire, Humus","14, 7",9,1,7,"Blanche, Rouge, Rose, Violet, Bleu",Vivace,https://media.ooreka.fr/public/image/plant/184/furtherImage/b8bq8jxtqu0co0k4k8w8sc408-source-9770896.jpg,"Sa floraison abondante et parfumée marque l’arrivée du printemps. Rustique et ne demandant que peu d’entretien, cet arbuste buissonnant se reproduit spontanément par les racines, formant de beaux massifs et de belles haies odorantes.","Les lilas ayant une croissance lente les premières années puis plus rapide après vous n'avez pas intérêt à les semer. Les deux premières années après la plantation, arrosez régulièrement en été et en automne si nécessaire. Vous pouvez également le pailler.
Ensuite, le lilas est rustique et résiste bien à la sécheresse car il arrête sa croissance en juillet.
Il appréciera l'ajout d'engrais au printemps, mais ce n'est pas indispensable.",6
Lys,600 - 2000,5,9,Fleur,-1,"Sableux, Humus","14, 7, 0",7,5,7,"Blanche, Jaune, Orange, Rouge, Rose, Violet",Vivace,https://media.ooreka.fr/public/image/plant/141/mainImage-source-9671668.jpg,"Le lys ou lis, à la floraison spectaculaire et très parfumée, est d’un entretien très facile. Les multiples couleurs de ses magnifiques fleurs embellissent les jardins, les balcons et les terrasses. Il a l’avantage de refleurir d’année en année.","Le lys préfère une situation ensoleillée ou à la mi-ombre et à l'abri du vent. Il aime presque tous les sols, mais apprécie plus particulièrement les sols bien drainés, légers et riches en humus. De nombreuses variétés de lys redoutent le calcaire, l'excès d'humidité, mais aussi la sécheresse. Supprimez les fleurs fanées au fur et à mesure et coupez la tige aux deux tiers de sa longueur lorsqu’elles sont toutes fanées. Fertilisez tous les 15 jours à partir de mai jusqu’à septembre avec un engrais liquide pour plantes fleuries.",2
Magnolia,2000 - 10000,3,9,Arbuste,"Arrondi, Conique","Argileux, Calcaire, Humus, Bruyère","7, 0",7,6,7,"Blanche, Jaune, Rouge, Rose, Violet",Vivace,https://media.ooreka.fr/public/image/plant/12/mainImage-source-9140381.jpg,"C'est certainement l'un des plus beaux arbres à floraison printanière. Au sortir de l'hiver, il se couvre de fleurs spectaculaires et généreuses qui varient du blanc pur au blanc rosé et au rouge rubis.","Le résultat d'un semis de graines de magnolia est très aléatoire et il vous faudra être patient avant de voir votre magnolia fleurir ! Pour augmenter les chances de levée, semez les graines les plus fraîches possible. Le magnolia a besoin de peu d'entretien et semble bien résister aux maladies.",10
Mimosa,1000 - 10000,11,3,Arbre,"Arrondi, Tapis, Tombant","Sableux, Caillouteux","7, 0",3,1,8,"Jaune, Vert, Gris",Vivace,https://media.ooreka.fr/public/image/plant/13/mainImage-source-9134477.jpg,"Au plus fort de l'hiver, le mimosa illuminera votre jardin ou votre véranda grâce à sa floraison d'un jaune éclatant au parfum enivrant. En pleine terre dans le Sud et sur la côte atlantique, ou en bac ailleurs, sa culture est possible partout en France.","Le mimosa aime le soleil, la chaleur et les sols drainés. Il n'aime pas en général les sols argileux, lourds (et calcaires sauf pour certaines espèces comme le mimosa des 4 saisons). Il craint les fortes gelées et les vents secs desséchants. Sauf s'il est en pot, le mimosa ne demande pas beaucoup d'arrosage. L'excès d'humidité peut pourrir les racines et tuer l'arbre.",-1
Narcisse,150 - 600,2,5,Fleur,-1,"Argileux, Calcaire, Sableux",7,9,5,7,"Blanche, Jaune, Orange",Vivace,https://media.ooreka.fr/public/image/plant/43/mainImage-full-9228723.jpg,Le narcisse offre un véritable spectacle dans les jardins ou en jardinière quand ils sont plantés en massif ou en groupe. C'est une très belle fleur le plus souvent de couleur jaune mais parfois blanche et à l'entretien facile.,"Le narcisse apprécie les situations ensoleillées ou mi-ombragées. Il aime particulièrement les terres argileuses plutôt fraîches.

On peut l'utiliser par petits groupes, en rocailles, sous-bois, massifs, en pot . Le narcisse ne demande aucun entretien particulier.",4
Noisetier,2000 - 5000,1,3,Arbuste,Buissonnant,"Argileux, Sableux, Calcaire, Humus","14, 7, 0",9,5,7,"Vert, Jaune",Vivace,https://media.ooreka.fr/public/image/plant/341/furtherImage/3dn70bx2jb8k8g80cs0kg48og-source-11710188.jpg,"Décoratif, utile et productif, le noisetier ne manque pas d’atouts. De plus, il est rustique, jamais malade, pousse dans tous les sols et ne demande que peu d’entretien. Quant aux noisettes, leurs bienfaits n’ont d’égal que leur goût délicieux !","Rustique, le noisetier pousse aussi bien en bord de mer qu’en Île-de-France ou en montagne, à la mi-ombre comme au plein soleil. Cependant, sa floraison et donc sa fructification seront meilleures dans un lieu lumineux et pas trop froid. Les deux premières années, arrosez tous les 15 jours en été et veillez à conserver le sol propre en cours de végétation.

Tous les ans à l'automne, apportez une ou deux pelletées de compost.",-1
Œillet,300 - 1000,4,12,Fleur,-1,"Calcaire, Calliouteux, Humus, Terreau","14, 7",7,5,7,"Blanche, Jaune, Orange, Rouge, Rose, Violet",Vivace,https://media.ooreka.fr/public/image/plant/105/mainImage-source-9535452.jpg,"L’œillet, à la floraison abondante et au parfum délicat, orne de ses magnifiques fleurs aux couleurs très variées nos jardins, balcons et terrasses durant tout l’été. De plus, il est très facile à cultiver.","L'œillet aime les sols ordinaires, bien drainés même secs, et plutôt calcaires. Il craint les sols acides.

Il apprécie les expositions ensoleillées ou légèrement ombrées.",3
Oeillet d'Inde,300 -1000,5,10,Fleur,Buissonnant,"Argileux, Calcaire, Humus, Terreau",7,1,1,9,"Jaune, Orange, Rouge",Annuelle,https://media.ooreka.fr/public/image/plant/36/mainImage-full-9218636.jpg,"L’œillet d’Inde est une plante très florifère et facile à cultiver. Sa floraison jaune, orange ou rouge embellit jardins, balcons, terrasses. Au potager, elle est aussi réputée pour éloigner les insectes comme les nématodes.","L'œillet d'Inde apprécie les expositions chaudes et bien aérées. Il aime les sols légers, même pauvres et secs. Un bon drainage est essentiel.

L'œillet d'Inde ne demande pas d'entretien spécifique.",3
Olivier,5000,4,7,Arbre,Arrondi,"Argileux, Calcaire, Caillouteux","14, 7, 0",4,1,8,"Gris, Vert",Vivace,https://media.ooreka.fr/public/image/plant/4/mainImage-source-8883309.jpg,"L'olivier, symbole de la Méditerranée et du soleil, a besoin d'un climat ensoleillé pour produire des olives. Également très décoratif, il trouve sa place aussi bien en bac sur un balcon qu'isolé dans le jardin ou en bordure d'allée.","L'olivier se développe très bien en bac, même pour de gros spécimens. L'arrosage d'un olivier doit rester modéré car, si cet arbre résiste bien à la sécheresse, il craint en revanche fortement l'humidité.",-1
Oranger,1000 - 10000,3,4,Arbre,Arrondi,Sableux,"7, 0",1,5,9,"Blanche, Rose, Vert",Vivace,https://media.ooreka.fr/public/image/plant/176/furtherImage/448jwj4isscgsc4884c88wwc4-full-11523267.jpg,"L’oranger doux, Citrus sinensis, est le fruit le plus cultivé au monde ! Ce représentant des agrumes est réputé pour le parfum enchanteur de sa floraison, la saveur douce et acidulée de ses fruits d’une belle couleur vive au cœur de l’hiver.","La culture de l'oranger reste possible en dehors de la zone méditerranéenne, à condition de bien choisir les variétés, de surveiller l'apport en eau et de le protéger du froid en deçà de -7 °C. L'oranger doit être correctement arrosé tout l'été afin de ne pas entrer en période de dormance, ce qui nuirait à la récolte des oranges.",-1
Orchidées,150 - 1000,12,10,Fleur,"Buissonnant, Tombant, Grimpant","Argileux, Calcaire, Sableux, Caillouteux, Bruyère, Humus",7,1,5,7,"Blanche, Jaune, Orange, Rouge, Rose, Violet",Vivace,https://media.ooreka.fr/public/image/plant/217/mainImage-source-11475332.jpg,"Variées, insolites et fascinantes, les orchidées ont longtemps été rares et inaccessibles. Elles sont aujourd’hui largement cultivées et proposées à tous les prix. Plusieurs espèces et variétés sont assez faciles à cultiver en appartement.",Les graines d'orchidées sont minuscules. La germination n'est possible qu'en présence d'un champignon qui forme des ectomycorhizes pour faciliter la germination. Le semis est donc délicat. Il est réservé aux professionnels. Arrosez-les de préférence avec de l'eau de pluie ou de l'eau non calcaire. Apportez un engrais spécial orchidées toutes les 2 semaines pendant la période de croissance.,10
Pandoréa,2000 - 10000,2,9,Arbuste,Grimpant,Humus,"7, 0",1,5,9,"Blanche, Jaune, Rose, Violet",Vivace,https://media.ooreka.fr/public/image/plant/144/furtherImage/exaipmnr6ds84gc8okwo8os08-source-12196683.jpg,"Le pandoréa est une plante grimpante voisine de la bignone. Ses magnifiques fleurs, en forme d’entonnoir, fleurissent durant la période estivale. Vigoureuse, elle saura décorer à merveille, jardins, balcons et terrasses.","Le pandoréa préfère une exposition très ensoleillée et chaude, à l'abri du vent. Il apprécie un sol riche et profond, mais on peut aussi le cultiver en pot ou en bac. Pincez fréquemment les jeunes tiges pour stimuler la ramification.",10
Pensée,0 - 300,10,5,Fleur,-1,"Sableux, Caillouteux, Humus","7, 0",7,5,7,"Blanche, Jaune, Orange, Rouge, Rose, Violet, Bleu, Noir","Vivace, Annuelle, Bisannuelle",https://media.ooreka.fr/public/image/plant/50/mainImage-full-9261208.jpg,"Fleur d’automne et d’hiver par excellence, la pensée ne demande que très peu d’entretien. Ses fleurs se déclinent en de multiples couleurs, égayant ainsi balcons, terrasses et jardins. La fleur de pensée est aussi comestible.","La pensée se plante facilement dans des contenants (pot, jardinière), sur les balcons, les terrasses et les fenêtres. Les pensées sont faciles d’entretien et ne demandent que très peu de soins.

Arrosez durant la période estivale mais sans excès.
En période hivernale, protégez les racines du froid avec un paillage au pied.
Supprimez régulièrement les fleurs fanées.",4
Pétunia,0 - 2000,5,10,Fleur,"Tapis, Buissonnant, Tombant",Humus,"7, 0",5,9,7,"Blanche, Jaune, Orange, Rouge, Rose, Violet, Bleu","Vivace, Annuelle",https://media.ooreka.fr/public/image/plant/48/mainImage-source-9246505.jpg,"Le pétunia est une fleur facile d’entretien. Sa floraison longue et abondante, aux couleurs variées et éclatantes, s'épanouit du printemps jusqu’aux premières gelées. En jardinière ou en suspension, il est la star des balcons et rebords de fenêtre.","Le pétunia se plante en pleine terre (massif, bordure), sur un balcon ou en jardinière.

L'endroit idéal est un emplacement ensoleillé ou à la mi-ombre, et à l'abri du vent. Un pétunia en jardinière ou en pot demande plus d’eau qu’un pétunia en pleine terre.
L’arrosage dépend de la température, de la région et de la saison. En cas de canicule, arrosez quotidiennement.
Arrosez de préférence le soir.",2
Phalaenopsis,300 - 600,2,10,Fleur,-1,Humus,"7, 0",1,1,7,"Blanche, Jaune, Orange, Rouge, Rose, Violet, Vert",Vivace,https://media.ooreka.fr/public/image/plant/260/mainImage-full-11498490.jpg,"Le phalaenopsis ou orchidée papillon est l’une des orchidées les plus faciles à cultiver chez soi. C’est aussi une des plus appréciées en raison de la beauté et de la longévité de sa floraison, jusqu’à 3 mois de floraison continue.","Le semis doit être réservé aux professionnels. Les graines d'orchidées sont minuscules. En plus, elles demandent des conditions très particulières pour germer (symbiose avec un champignon). Ne coupez pas les racines qui sortent du pot !",4
Pivoine,800 - 1500,4,9,Fleur,-1,Humus,"7, 0",9,5,7,"Blanche, Jaune, Orange, Rouge, Rose",Vivace,https://media.ooreka.fr/public/image/plant/145/furtherImage/qt5bz0725q8044ks0w0ks4s4-source-11323327.jpg,"La pivoine possède de très grandes fleurs souvent parfumées, simples ou doubles. Sa floraison généreuse et printanière donnera de l’attrait à vos jardins, terrasses et balcons. La pivoine est facile à cultiver, mais il faut la manier avec précaution.","La pivoine aime les expositions ensoleillées ou mi-ombragées et à l'abri du vent.

Un peu capricieuse, elle préfère un sol profond, riche en humus, bien drainé, plutôt humide, mais sans humidité stagnante. Les pivoines arbustives poussent beaucoup plus lentement que les pivoines herbacées.",7
Poirier,1000 - 10000,3,6,Arbre,"Ouvert, Conique, Tombant","Argileux, Sableux",7,9,5,8,"Blanche, Rose, Vert",Vivace,https://media.ooreka.fr/public/image/plant/27/mainImage-source-9205368.jpg,"Facile à cultiver, le poirier fait partie des arbres fruitiers les plus populaires. Très rustique, on le retrouve sur tous les continents dans les jardins, en culture pour la production ou même en pot sur les balcons ou terrasses.","Si vous possédez un petit jardin, optez pour les poiriers palissés qui occupent peu de place en volume. Leurs fruits sont moins nombreux mais plus beaux et plus gros que chez les formes libres. Protégez le tronc des jeunes poiriers en les entourant de grillage.",-1
Pomme de terre,0,6,9,Legume,-1,"Argileux, Sableux",7,1,1,7,"Jaune, Blanche, Rose, Bleu",Annuelle,https://media.ooreka.fr/public/image/plant/35/mainImage-full-9218613.jpg,"Très facile à cultiver et de récolte très généreuse, la pomme de terre est un des légumes les plus consommés au monde. Elle fait le bonheur des jardiniers amateurs mais aussi des jardiniers expérimentés. N'hésitez donc pas à varier les variétés !","La pomme de terre aime les climats tempérés. Elle s'adapte à toutes les régions mais redoute le gel. Elle préfère une exposition ensoleillée ou mi-ombragée. Binez et sarclez régulièrement avant le buttage.
Buttez le pied avec une terre affinée.
N'arrosez qu'en cas de fortes chaleurs ou quand le feuillage flétrit. N'arrosez pas les feuilles à cause du mildiou !
Paillez au pied pour maintenir la fraîcheur.",-1
Pommier,5500,4,6,Arbre,Ouvert,"Argileux, Calaire, Humus",7,9,5,5,"Blanche, Rose",Vivace,https://media.ooreka.fr/public/image/plant/1/mainImage-source-9207000.jpg,"Le pommier, de la famille des Rosacées, est le fruitier le plus cultivé dans toute l'Europe. Avec sa ramure régulière, sphérique, sa floraison blanc rosé, il est très décoratif. On l'aime pour son aspect ornemental et ses fruits aux nombreuses variétés.",L'hiver (hors période de gelées) est en général la saison propice à la plantation des arbres fruitiers. N'hésitez donc pas à planter plusieurs variétés différentes pour obtenir ainsi une pollinisation croisée.,-1
Primevère,150 - 600,9,7,Fleur,-1,"Calcaire, Calliouteux, Humus","7, 0",7,5,5,"Blanche, Jaune, Orange, Rouge, Rose, Violet, Bleu",Vivace,https://media.ooreka.fr/public/image/plant/49/mainImage-source-9246481.jpg,"La primevère est une fleur printanière précoce qui demande peu de soins. On peut la planter dans les jardins, en pot, en jardinière, sur le rebord d’une fenêtre. Certaines variétés peuvent aussi se cultiver en intérieur.","La primevère préfère en général un emplacement mi-ombragé et une exposition non brûlante. Elle aime les sols humifères, frais, légers et bien drainés. Si le sol est lourd, ajoutez un peu de sable pour l'alléger. Évitez l'arrosage excessif qui pourrit les racines. Le sol doit rester humide, mais pas détrempé et les plants ne doivent pas dessécher.
En automne et au printemps, arrosez deux à trois fois par semaine.
En été, arrosez quotidiennement.
Supprimez les fleurs fanées et les feuilles mortes.
Apportez tous les 15 jours un engrais organique.",4
Renoncule,150 - 600,5,7,Fleur,-1,"Calcaire, Hulus",7,7,5,5,"Blanche, Jaune, Orange, Rouge, Rose, Violet","Vivace, Annuelle",https://media.ooreka.fr/public/image/plant/28/mainImage-full-9205141.jpg,"La renoncule des jardins (Ranunculus asiaticus) est une ravissante plante aux couleurs vives et variées, facile à cultiver. Elle égaie parfaitement jardins, terrasses et balcons et permet la réalisation de superbes bouquets.","La renoncule préfère un endroit légèrement ombragé et à l'abri du vent. Elle souffre des situations trop brûlantes. À la fin de l'été, il est conseillé d'arracher les bulbes (griffes) pour les protéger du froid et du gel.
Stockez les bulbes dans un lieu sec et aéré durant la période hivernale.
Replantez-les au printemps suivant.
Arrosez une fois par semaine la renoncule voire un peu plus en cas de fortes chaleurs.",5
Rhododendron,600 - 3000,3,7,Arbuste,"Buissonnant, Ouvert","Bruyère, Humus",0,9,6,3,"Blanche, Rose, Jaune, Bleu, Violet, Orange, Rouge",Vivace,https://media.ooreka.fr/public/image/plant/3/mainImage-source-8660790.jpg,"Facile d'entretien et très résistant, le rhododendron offre un massif de fleurs éclatantes au printemps, avec un beau feuillage toute l’année. Ses nombreuses variétés permettent la création de haies comme la plantation en bac.","Le rhododendron se plante toute l'année, en évitant les périodes de gelées et de sécheresse. Vous pouvez le planter même pendant la floraison. La période idéale est avril ou mai, sauf dans les régions chaudes où le rhododendron se plante en octobre. N'arrosez pas les rhododendrons avec de l'eau calcaire ; préférez l'eau de pluie. Aux périodes chaudes, arrosez 2 à 3 fois par mois, pas plus.",7
Romarin,0 - 1500,1,12,Arbuste,"Tapis, Buissonnant, Tombant","Calcaire, Calliouteux, Humus, Terreau","14, 7, 0",9,1,9,"Vert, Gris",Vivace,https://media.ooreka.fr/public/image/plant/64/furtherImage/dditn2t27zcock0swcco4w08k-source-9364622.jpg,"Le romarin est une plante très aromatique qui agrémente particulièrement les grillades de viandes et de poissons. Sa ravissante floraison de couleur bleue et blanche en passant par le rose décore magnifiquement balcons, terrasses et jardins.","Le romarin se plaît dans un sol léger même pauvre, très calcaire, mais aussi acide, bien drainé. Il ne tolère pas les excès d'humidité. Il est adapté aux embruns et à la sécheresse et préfère une exposition chaude en plein soleil. 
Il n'est pas nécessaire de fertiliser le romarin.",-1
Ronce,2000 - 5000,5,7,Arbuste,-1,"Sableux, Humus",7,9,1,7,Vert,Vivace,https://media.ooreka.fr/public/image/plant/146/mainImage-source-9672028.jpg,"La ronce est une plante rustique, facile à cultiver, qui donne de très bons fruits en période estivale. Riche en vitamine C, en fibres et en potassium, la mûre se déguste fraîche, en tarte, en confiture, en sorbet.","La ronce est très rustique et peut supporter des températures jusqu'à -25 °C.

Elle aime une exposition ensoleillée ou mi-ombragée. Attachez les jeunes pousses sur leur support au fur et à mesure de leur développement.
Buttez au pied et sarclez afin de maintenir le sol propre.
Étalez un paillage épais en fin de printemps.
Apportez, en couverture, un peu de matière organique bien décomposée chaque automne.",-1
Rosier Rouge,1500,6,10,Arbuste,Buissonnant,Argileux,7,8,6,6,Rouge,Vivace,https://www.promessedefleurs.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rosier-sympathie-66512-1.jpg,"Les rosiers buissonnants produisent des branches ramifiées dans l’année. Ils forment ainsi des buissons denses, généralement de hauteur inférieure à un mètre, à la généreuse floraison. On les appelle d’ailleurs plus simplement « rosiers buissons ».","Offrez-lui un emplacement lumineux qui, avec l'augmentation de la température, stimule la production de boutons floraux. Arrosez toujours au pied des rosiers, à l'arrosoir, au tuyau ou bien avec un goutte-à-goutte.",7
Sapin,600 - 10000,4,5,Arbre,Conique,"Argileux, Calcaire, Caillouteux","7, 0",9,5,4,"Vert, Jaune, Rouge, Violet",Vivace,https://media.ooreka.fr/public/image/plant/325/mainImage-source-11705147.jpg,"Résistant bien aux maladies, le sapin ne demande que très peu d’entretien une fois planté. Son feuillage persistant, de coloration variable selon les espèces, en fait un élément important de décoration de votre jardin en toutes saisons.","Dans des régions au climat sec et chaud, bassinez-le la première année pendant les chaleurs.
La première année arrosez-le régulièrement et apportez-lui un peu d’engrais azoté.
Ensuite, les soins ne sont plus nécessaires. Taillez de préférence lorsque les cônes s'effritent, vers novembre-décembre.",-1
Souci,300 -1000,4,10,Fleur,"Tapis, Buissonnant","Argileux, Calcaire, Sableux, Caillouteux, Bruyère, Humus, Terreau",7,5,5,7,"Jaune, Orange, Rouge",Annuelle,https://media.ooreka.fr/public/image/plant/33/furtherImage/1p82b8wogwbo8wwo08ww8888w-source-9497624.jpg,"Le souci est facile à cultiver et s'adapte à tous les sols. En massif, en bordure ou encore en rocaille, cette plante annuelle donne de l'éclat au jardin grâce à sa floraison abondante et prolongée de couleur jaune ou orangée.","Le souci apprécie tous les terrains même pauvres. Il préfère un emplacement ensoleillé et ne craint pas le chaud si le terrain reste frais. Enfin, il craint le gel mais supporte le climat maritime. Supprimez les fleurs fanées pour stimuler la floraison.
Pour la culture en pot, on peut apporter de l'engrais pour plantes à fleurs.
Arrosez seulement en période de fortes chaleurs.",4
Topinambour,2000 - 5000,11,3,Legume,-1,"Argileux, Calcaire, Humus","14, 7",9,5,7,Jaune,Vivace,https://media.ooreka.fr/public/image/plant/112/mainImage-full-9537260.jpg,"Le topinambour est un vieux légume oublié qui revient en force dans nos assiettes. Très facile à cultiver, il est adapté aux jardiniers débutants comme aux confirmés. Plein d’atouts, il est riche en vitamines et en sels minéraux.","Le topinambour est très rustique, il résiste aux grands froids, mais aussi à la sécheresse. Cependant, il déteste le vent. Il préfère une situation ensoleillée, mais tolère la mi-ombre. Binez et sarclez régulièrement.
Paillez en cas de sécheresse et si vous leur faites passer l'hiver en terre.
Buttez les plantes quand elles atteignent 20 cm de haut pour qu'elles soient plus résistantes au vent.
Arrosez en cas de fortes chaleurs.",-1
Tulipe,150 - 1000,3,5,Fleur,-1,Sableux,"14, 7",9,5,7,"Blanche, Jaune, Orange, Rouge, Rose, Violet, Noir","Vivace, Annuelle",https://media.ooreka.fr/public/image/plant/80/mainImage-full-9412311.jpg,"Facile à cultiver, la tulipe possède une très riche palette de couleurs et un éventail de formes variées. Elle décore magnifiquement les jardins, terrasses et balcons grâce à sa floraison printanière.","La tulipe aime les endroits en plein soleil sachant que les espèces botaniques supportent bien un emplacement à la mi-ombre. En cas de fortes chaleurs, prévoyez un arrosage plus copieux. Pour conserver les bulbes plusieurs années, il est recommandé de réduire les arrosages après la floraison pour qu’ils ne pourrissent pas.",3
Violette,0 - 300,10,7,Fleur,Tapis,"Argileux, Calcaire, Humus, Terreau",7,9,5,7,"Blanche, Rose, Violet, Bleu",Vivace,https://media.ooreka.fr/public/image/plant/32/mainImage-source-9496784.jpg,"La violette, plante médicinale et comestible, est idéale pour les jardins et jardinières. Selon les variétés, elle offre une floraison hivernale ou printanière aux couleurs très variées : blanc, jaune, orange, rose, mauve, violet, bleu, voire multicolore.","La violette se plante facilement dans les massifs, rocailles, bordures, pots et jardinières. Pour avoir une belle floraison, préférez une terre assez riche et bien drainée. Toutefois, la terre de votre jardin conviendra parfaitement.
Respectez un espacement d'environ 20 cm entre deux plants.",2
Zinnia,150 - 1000,6,10,Fleur,-1,"Argileux, Calcaire, Sableux, Caillouteux, Humus, Terreau","14, 7",1,1,9,"Blanche, Jaune, Orange, Rouge, Rose, Vert",Annuelle,https://media.ooreka.fr/public/image/plant/31/mainImage-source-9218268.jpg,"Le zinnia est une plante à fleurs qui fleurit généreusement durant tout l'été. Il décore magnifiquement les jardins, balcons et terrasses grâce à ses fleurs simples ou doubles aux coloris très variés et intenses. Le zinnia est facile à cultiver.","Il adore le soleil et les expositions chaudes et ne supporte pas les températures négatives. Semez fin mars en caissette sous abri chaud.
Mettez en place en pleine terre fin mai, avec un espacement de 35 à 40 cm pour les variétés hautes et moyennes, et 25 cm pour les variétés basses.
Arrosez régulièrement.",4